model,method,rank,calibration_context,document,overall_nll,delta_nll,nll_0_8k,nll_8_32k,nll_32_64k,nll_64_128k,delta_nll_0_8k,delta_nll_8_32k,delta_nll_32_64k,delta_nll_64_128k
Qwen3-8B-Base,Joint C1,64,131072,4,2.2219546328860216,0.14021736576361654,2.00899702573873,2.0850125713532415,2.1860094620581196,2.3178969427929697,0.08719651232448067,0.12487039398927391,0.12973764769468277,0.15783913685933548
Qwen3-8B-Base,Joint C1,64,131072,5,2.58864513299936,0.1525029905105213,2.60221175622424,2.2333832484011453,2.6169456748852706,2.706022447887867,0.1241122949834721,0.13316854224987962,0.15710639161925322,0.16100011178714224
Qwen3-8B-Base,Joint C1,64,131072,6,2.3229249335715525,0.15678950239958933,2.22639767014498,1.918043972109093,2.487427424386844,2.4045684837514987,0.08669620786862176,0.13536983648200218,0.1547584821164163,0.17459797953784495
Qwen3-8B-Base,Joint C1,64,131072,7,2.6290671526851637,0.17412115869336553,2.329660311642941,2.225891384790813,2.8012348606424347,2.7315954982113566,0.10285344424426768,0.13732260569811805,0.16750047761700104,0.20013833345188115
Qwen3-8B-Base,Joint C1,96,131072,0,2.4527687309720427,0.04412686663753096,1.8903053333026327,2.6460896095403674,2.5214612223130626,2.416226498036747,0.015376465246067506,0.041727331940166756,0.0367662969309448,0.05230033847995763
Qwen3-8B-Base,Joint C1,96,131072,1,2.7157144397377855,0.04903436216113333,2.7178650106400686,3.038383192365868,2.694467181601215,2.6050684980228622,0.02404880087322736,0.04425486080147678,0.03828812434491269,0.05932260799069278
Qwen3-8B-Base,Joint C1,96,131072,2,2.6145191109385766,0.05704213978591621,2.405809578995667,2.673472084877337,2.3558058033752713,2.7478539063313345,0.02392296276069983,0.05566078542721087,0.06190484293948195,0.059268187863263044
Qwen3-8B-Base,Joint C1,96,131072,3,2.361723847558813,0.05120094681034937,0.7846867211349128,2.4038990149334603,2.231181672164882,2.608284824616417,0.01344680679548449,0.04416129534497637,0.048841367122462565,0.059739297373206046
Qwen3-8B-Base,Joint C1,96,131072,4,2.1190144573500334,0.03727719022762832,1.943395044489342,1.9887974009353897,2.0932560396431366,2.202674809226984,0.02159453107509246,0.02865522357142214,0.03698422527969969,0.04261700329334994
Qwen3-8B-Base,Joint C1,96,131072,5,2.479913857120346,0.04377171463150731,2.5107845197570393,2.133705820571476,2.5057989228452917,2.5929409761830424,0.03268505851627124,0.033491114420210355,0.04595963957927429,0.0479186400823175
Qwen3-8B-Base,Joint C1,96,131072,6,2.208105114474446,0.04196968330248296,2.1614459447263457,1.8151985872435688,2.379105142732967,2.275776732312848,0.0217444824499875,0.03252445161647799,0.046436200462538935,0.045806228099194435
Qwen3-8B-Base,Joint C1,96,131072,7,2.503207090662562,0.04826109667076395,2.2467012407258715,2.1209451883835375,2.6841755431254772,2.588130395059167,0.019894373327198345,0.032376409290842734,0.050441160100043625,0.056673230299691735
